utc_timestamp2018,wind_generation_actual2018,wind_capacity2018,temperature2018
2017-01-01 00:00:00+00:00,680095,42863,4.838
2017-01-02 00:00:00+00:00,472798,42863,3.335
2017-01-03 00:00:00+00:00,937882,42863,5.367
2017-01-04 00:00:00+00:00,591315,42863,5.793
2017-01-05 00:00:00+00:00,526593,42863.208,6.224
2017-01-06 00:00:00+00:00,203896,42868,4.784
2017-01-07 00:00:00+00:00,389480,42868,1.434
2017-01-08 00:00:00+00:00,557074,42868.292,0.848
2017-01-09 00:00:00+00:00,519081,42875.292,2.817
2017-01-10 00:00:00+00:00,148126,42882.5,3.391
2017-01-11 00:00:00+00:00,35784,42894.25,2.602
2017-01-12 00:00:00+00:00,132627,42900,1.668
2017-01-13 00:00:00+00:00,336296,42900,0.457
2017-01-14 00:00:00+00:00,396861,42900.167,-1.265
2017-01-15 00:00:00+00:00,742827,42904.292,0.579
2017-01-16 00:00:00+00:00,673261,42911.208,2.98
2017-01-17 00:00:00+00:00,661151,42916.25,1.036
2017-01-18 00:00:00+00:00,684235,42922.458,2.446
2017-01-19 00:00:00+00:00,297655,42933,1.113
2017-01-20 00:00:00+00:00,205317,42933,0.289
2017-01-21 00:00:00+00:00,109088,42933.292,-0.562
2017-01-22 00:00:00+00:00,313943,42941.25,1.204
2017-01-23 00:00:00+00:00,394519,42970.292,3.021
2017-01-24 00:00:00+00:00,761971,42977.417,6.846
2017-01-25 00:00:00+00:00,394296,42987.125,6.238
2017-01-26 00:00:00+00:00,50691,42990,4.407
2017-01-27 00:00:00+00:00,314429,42990,3.619
2017-01-28 00:00:00+00:00,841002,42991.5,5.433
2017-01-29 00:00:00+00:00,899632,43026.958,6.967
2017-01-30 00:00:00+00:00,467717,43050.667,3.438
2017-01-31 00:00:00+00:00,705576,43089.333,4.618
2017-02-01 00:00:00+00:00,522149,43097.792,1.424
2017-02-02 00:00:00+00:00,351065,43116,0.806
2017-02-03 00:00:00+00:00,112228,43116,-0.281
2017-02-04 00:00:00+00:00,252417,43116.292,-1.527
2017-02-05 00:00:00+00:00,202820,43123.75,-1.948
2017-02-06 00:00:00+00:00,93384,43141.292,-2.496
2017-02-07 00:00:00+00:00,56454,43148.625,-2.683
2017-02-08 00:00:00+00:00,91859,43164.125,-3.076
2017-02-09 00:00:00+00:00,209042,43191.042,-2.6
2017-02-10 00:00:00+00:00,171106,43215,-1.078
2017-02-11 00:00:00+00:00,625419,43215.625,0.164
2017-02-12 00:00:00+00:00,463910,43230.583,-0.438
2017-02-13 00:00:00+00:00,259054,43244.667,-1.91
2017-02-14 00:00:00+00:00,325599,43261.667,-2.58
2017-02-15 00:00:00+00:00,506319,43300.542,-0.534
2017-02-16 00:00:00+00:00,328201,43313,1.166
2017-02-17 00:00:00+00:00,72441,43313,-0.407
2017-02-18 00:00:00+00:00,125794,43313.333,-0.912
2017-02-19 00:00:00+00:00,59739,43321.292,-1.033
2017-02-20 00:00:00+00:00,109402,43328.583,-1.351
2017-02-21 00:00:00+00:00,153066,43343,-1.907
2017-02-22 00:00:00+00:00,261194,43367.375,-2.446
2017-02-23 00:00:00+00:00,360330,43399,-3.653
2017-02-24 00:00:00+00:00,585218,43399,-4.062
2017-02-25 00:00:00+00:00,350782,43399.375,-6.357
2017-02-26 00:00:00+00:00,398252,43408.875,-7.201
2017-02-27 00:00:00+00:00,337614,43431.75,-8.147
2017-02-28 00:00:00+00:00,571612,43495.5,-9.363
2017-03-01 00:00:00+00:00,727976,43508.25,-7.523
2017-03-02 00:00:00+00:00,528622,43537.5,-6.25
2017-03-03 00:00:00+00:00,426261,43549.25,-3.74
2017-03-04 00:00:00+00:00,407408,43555.417,0.248
2017-03-05 00:00:00+00:00,293805,43565.5,2.719
2017-03-06 00:00:00+00:00,137892,43578.167,2.19
2017-03-07 00:00:00+00:00,160869,43609.5,2.589
2017-03-08 00:00:00+00:00,482952,43714.667,3.514
2017-03-09 00:00:00+00:00,357414,43753.125,4.177
2017-03-10 00:00:00+00:00,295619,43756,6.869
2017-03-11 00:00:00+00:00,243889,43756.25,7.991
2017-03-12 00:00:00+00:00,205671,43762.542,6.948
2017-03-13 00:00:00+00:00,426653,43776.042,5.238
2017-03-14 00:00:00+00:00,155294,43803,3.279
2017-03-15 00:00:00+00:00,646695,43872.833,3.615
2017-03-16 00:00:00+00:00,589078,43892,2.468
2017-03-17 00:00:00+00:00,798877,43892,-1.936
2017-03-18 00:00:00+00:00,745651,43894.167,-3.292
2017-03-19 00:00:00+00:00,242753,43945.708,-3.117
2017-03-20 00:00:00+00:00,338624,43988.125,-1.459
2017-03-21 00:00:00+00:00,207313,44064.333,-0.433
2017-03-22 00:00:00+00:00,398658,44166.792,0.884
2017-03-23 00:00:00+00:00,99297,44231.542,2.431
2017-03-24 00:00:00+00:00,70626,44244,3.185
2017-03-25 00:00:00+00:00,39301,44249.333,4.472
2017-03-26 00:00:00+00:00,62850,44317.417,3.811
2017-03-27 00:00:00+00:00,134081,44435.667,3.921
2017-03-28 00:00:00+00:00,448007,44610.75,4.91
2017-03-29 00:00:00+00:00,344249,44764.917,3.802
2017-03-30 00:00:00+00:00,349948,44800.667,5.495
2017-03-31 00:00:00+00:00,291433,44841,4.391
2017-04-01 00:00:00+00:00,370937,44841,3.144
2017-04-02 00:00:00+00:00,243806,44841,5.791
2017-04-03 00:00:00+00:00,414041,44841,11.057
2017-04-04 00:00:00+00:00,355585,44841,10.74
2017-04-05 00:00:00+00:00,638640,44841,7.023
2017-04-06 00:00:00+00:00,336817,44841,5.846
2017-04-07 00:00:00+00:00,431217,44841,10.275
2017-04-08 00:00:00+00:00,160398,44841,12.733
2017-04-09 00:00:00+00:00,167152,44841,13.069
2017-04-10 00:00:00+00:00,423244,44842.167,12.519
2017-04-11 00:00:00+00:00,413064,44855.5,10.764
2017-04-12 00:00:00+00:00,477532,44861,12.523
2017-04-13 00:00:00+00:00,312741,44861,11.292
2017-04-14 00:00:00+00:00,242158,44861,11.378
